Heuristic,Cost
OPT,45181377
MTF,25037762
Transpose,49985488
2-in-a-Row,43869843
OPT,92400780
MTF,50055451
Transpose,99410032
2-in-a-Row,86950060
OPT,140745038
MTF,74810017
Transpose,149911712
2-in-a-Row,131125448
OPT,189445179
MTF,100445129
Transpose,199497506
2-in-a-Row,175737103
OPT,237597205
MTF,124844653
Transpose,249383833
2-in-a-Row,217703784
OPT,285923170
MTF,149666045
Transpose,298890123
2-in-a-Row,262370924
OPT,333773441
MTF,174699883
Transpose,348935223
2-in-a-Row,305621406
OPT,383132440
MTF,199725354
Transpose,397343309
2-in-a-Row,349578537
OPT,432676243
MTF,225110448
Transpose,448288484
2-in-a-Row,393047862
OPT,480459617
MTF,249787664
Transpose,498271996
2-in-a-Row,436940376
