Heuristic,Cost
OPT,1094974
Splay,571332
Transpose,2092669
2-in-a-Row,999818
OPT,2070488
Splay,1141488
Transpose,3983621
2-in-a-Row,1989622
OPT,3312390
Splay,1707701
Transpose,6626879
2-in-a-Row,2993286
OPT,4686023
Splay,2286893
Transpose,8635254
2-in-a-Row,3995694
OPT,5683363
Splay,2848810
Transpose,10825968
2-in-a-Row,4978754
OPT,6165330
Splay,3416822
Transpose,12928586
2-in-a-Row,5986175
OPT,7864355
Splay,3987261
Transpose,14878057
2-in-a-Row,6974268
OPT,8275628
Splay,4555334
Transpose,16984774
2-in-a-Row,7967173
OPT,9763336
Splay,5135119
Transpose,19625839
2-in-a-Row,8976999
OPT,10437986
Splay,5699093
Transpose,21677383
2-in-a-Row,9961813
