Heuristic,Cost
OPT,3969533
MTF,5960464
Transpose,4954443
2-in-a-Row,4982156
OPT,8036409
MTF,11954286
Transpose,9858099
2-in-a-Row,9984502
OPT,12037803
MTF,17802496
Transpose,14684913
2-in-a-Row,14982873
OPT,16146580
MTF,23794133
Transpose,19476282
2-in-a-Row,20061183
OPT,20228952
MTF,29775526
Transpose,24286445
2-in-a-Row,25135712
OPT,24114479
MTF,35444610
Transpose,28825452
2-in-a-Row,29996027
OPT,28334606
MTF,41709142
Transpose,33550005
2-in-a-Row,35106956
OPT,32433918
MTF,47732243
Transpose,38223661
2-in-a-Row,40127316
OPT,36554729
MTF,53707338
Transpose,42978784
2-in-a-Row,45469050
OPT,40504183
MTF,59594368
Transpose,47311234
2-in-a-Row,50258352
