Heuristic,Cost
OPT,294772
Splay,476911
Transpose,368600
2-in-a-Row,311374
OPT,593923
Splay,955550
Transpose,740238
2-in-a-Row,628028
OPT,888959
Splay,1428436
Transpose,1103979
2-in-a-Row,963870
OPT,1185859
Splay,1901414
Transpose,1474500
2-in-a-Row,1289013
OPT,1485342
Splay,2385005
Transpose,1845414
2-in-a-Row,1601918
OPT,1774464
Splay,2852591
Transpose,2204904
2-in-a-Row,1919368
OPT,2072981
Splay,3336039
Transpose,2579552
2-in-a-Row,2235353
OPT,2377250
Splay,3820654
Transpose,2960986
2-in-a-Row,2563114
OPT,2675309
Splay,4302218
Transpose,3325867
2-in-a-Row,2908312
OPT,2972686
Splay,4772296
Transpose,3695062
2-in-a-Row,3250934
