Input,Percentage
233,0.07166666666666667
670,0.09966666666666667
97,0.11666666666666667
223,0.11066666666666666
886,0.101
882,0.11366666666666667
460,0.091
574,0.087
66,0.09166666666666666
797,0.10333333333333333
723,0.09933333333333333
322,0.11333333333333333
423,0.11266666666666666
848,0.08533333333333333
774,0.08933333333333333
295,0.10766666666666666
354,0.10933333333333334
361,0.099
51,0.09966666666666667
254,0.08066666666666666
47,0.09333333333333334
62,0.09966666666666667
969,0.10166666666666667
211,0.09866666666666667
518,0.10133333333333333
410,0.103
273,0.084
230,0.084
505,0.10766666666666666
704,0.10866666666666666
577,0.10866666666666666
475,0.10633333333333334
504,0.07666666666666666
378,0.075
896,0.10466666666666667
593,0.108
962,0.11066666666666666
50,0.102
277,0.101
488,0.06733333333333333
659,0.10433333333333333
572,0.104
985,0.09333333333333334
661,0.103
424,0.11333333333333333
927,0.082
698,0.083
559,0.105
746,0.102
52,0.106
304,0.112
73,0.09633333333333334
311,0.074
100,0.102
318,0.10166666666666667
30,0.104
261,0.112
356,0.106
357,0.07233333333333333
905,0.08933333333333333
155,0.12366666666666666
757,0.10666666666666667
324,0.097
845,0.10866666666666666
583,0.085
394,0.07766666666666666
411,0.10933333333333334
923,0.111
950,0.10866666666666666
366,0.11166666666666666
902,0.11
585,0.073
305,0.086
987,0.116
403,0.11266666666666666
167,0.10333333333333333
183,0.108
586,0.104
922,0.086
632,0.109
413,0.112
666,0.104
11,0.11033333333333334
671,0.10733333333333334
98,0.08233333333333333
766,0.105
397,0.102
960,0.09533333333333334
903,0.11366666666666667
124,0.097
69,0.07833333333333334
540,0.09066666666666667
338,0.10266666666666667
921,0.098
140,0.105
739,0.09633333333333334
12,0.11033333333333334
605,0.07933333333333334
564,0.09366666666666666
747,0.10333333333333333
538,0.088
105,0.10966666666666666
900,0.10266666666666667
867,0.08066666666666666
624,0.08066666666666666
993,0.109
452,0.11366666666666667
429,0.10433333333333333
462,0.10033333333333333
375,0.096
154,0.08633333333333333
759,0.102
325,0.105
693,0.10633333333333334
849,0.10333333333333333
680,0.10466666666666667
658,0.08233333333333333
933,0.08566666666666667
594,0.10333333333333333
948,0.10233333333333333
832,0.10033333333333333
339,0.10833333333333334
317,0.087
791,0.08066666666666666
427,0.095
926,0.102
805,0.09866666666666667
79,0.10733333333333334
5,0.108
78,0.07833333333333334
126,0.08866666666666667
369,0.10633333333333334
1,0.09433333333333334
702,0.108
891,0.111
187,0.096
212,0.08233333333333333
602,0.10366666666666667
309,0.109
729,0.107
854,0.10233333333333333
984,0.11366666666666667
880,0.072
445,0.10066666666666667
998,0.12133333333333333
931,0.10266666666666667
885,0.10333333333333333
141,0.09933333333333333
345,0.089
67,0.07866666666666666
454,0.12166666666666667
287,0.101
353,0.10566666666666667
456,0.10866666666666666
717,0.10733333333333334
712,0.07233333333333333
979,0.10033333333333333
523,0.10966666666666666
677,0.09366666666666666
966,0.10666666666666667
618,0.10533333333333333
674,0.09033333333333333
207,0.08266666666666667
929,0.10633333333333334
526,0.09866666666666667
544,0.11133333333333334
197,0.114
116,0.09733333333333333
956,0.089
861,0.10333333333333333
396,0.12033333333333333
221,0.10366666666666667
28,0.096
251,0.11566666666666667
264,0.08033333333333334
732,0.089
775,0.11766666666666667
983,0.10233333333333333
692,0.10433333333333333
125,0.104
71,0.099
823,0.08133333333333333
965,0.1
168,0.113
788,0.104
288,0.10733333333333334
104,0.09966666666666667
709,0.08666666666666667
733,0.09166666666666666
120,0.121
253,0.108
688,0.10233333333333333
244,0.114
122,0.10966666666666666
181,0.07533333333333334
697,0.116
319,0.112
915,0.10666666666666667
714,0.10366666666666667
866,0.104
515,0.068
442,0.10466666666666667
332,0.108
6,0.11266666666666666
172,0.11233333333333333
708,0.11833333333333333
321,0.08433333333333333
414,0.08166666666666667
171,0.11266666666666666
457,0.11033333333333334
169,0.10333333333333333
507,0.09766666666666667
483,0.10566666666666667
352,0.06966666666666667
199,0.108
200,0.10566666666666667
837,0.10033333333333333
271,0.098
59,0.10633333333333334
830,0.089
552,0.08466666666666667
296,0.111
27,0.10733333333333334
795,0.10966666666666666
463,0.09833333333333333
841,0.10066666666666667
219,0.08466666666666667
964,0.103
614,0.10933333333333334
299,0.10166666666666667
786,0.11133333333333334
39,0.10166666666666667
201,0.08833333333333333
606,0.08933333333333333
761,0.107
745,0.10966666666666666
425,0.098
350,0.11466666666666667
367,0.09033333333333333
626,0.082
967,0.108
