Input,Percentage
0,28.463
1,11.6058
2,6.8291
3,4.6573
4,3.4947
5,2.7535
6,2.2796
7,1.912
8,1.6273
9,1.4295
10,1.244
11,1.1112
12,1.0313
13,0.9379
14,0.8463
15,0.7678
16,0.725
17,0.6296
18,0.6434
19,0.5819
20,0.5387
21,0.5198
22,0.4778
23,0.4719
24,0.44
25,0.3926
26,0.3909
27,0.3904
28,0.3554
29,0.3514
30,0.3401
31,0.3016
32,0.3214
33,0.2776
34,0.2778
35,0.2902
36,0.2567
37,0.2451
38,0.2355
39,0.2423
40,0.2437
41,0.1924
42,0.2283
43,0.2098
44,0.1976
45,0.1922
46,0.1971
47,0.1874
48,0.1618
49,0.1939
50,0.1708
51,0.1684
52,0.15
53,0.1725
54,0.1581
55,0.1415
56,0.1415
57,0.1465
58,0.146
59,0.1405
60,0.1069
61,0.1474
62,0.1412
63,0.11
64,0.143
65,0.1208
66,0.1218
67,0.0998
68,0.1346
69,0.1039
70,0.0984
71,0.1349
72,0.0956
73,0.1029
74,0.1016
75,0.0957
76,0.0957
77,0.0921
78,0.0943
79,0.1027
80,0.0993
81,0.0991
82,0.0926
83,0.1023
84,0.0831
85,0.0653
86,0.0914
87,0.0873
88,0.0842
89,0.072
90,0.0909
91,0.0782
92,0.0795
93,0.0911
94,0.0579
95,0.0904
96,0.0589
97,0.0932
98,0.0636
99,0.0873
100,0.0547
101,0.0914
102,0.057
103,0.0596
104,0.0788
105,0.059
106,0.0774
107,0.0664
108,0.0547
109,0.0592
110,0.0799
111,0.0567
112,0.0482
113,0.0747
114,0.0672
115,0.0503
116,0.0547
117,0.0476
118,0.0542
119,0.0811
120,0.0458
121,0.0491
122,0.054
123,0.0533
124,0.0464
125,0.0466
126,0.0527
127,0.0585
128,0.0614
129,0.0491
130,0.0623
131,0.05
132,0.0486
133,0.0473
134,0.0461
135,0.0454
136,0.0396
137,0.0465
138,0.0393
139,0.0462
140,0.0484
141,0.0507
142,0.046
143,0.0494
144,0.0458
145,0.0486
146,0.0466
147,0.0484
148,0.0347
149,0.025
150,0.0449
151,0.0476
152,0.0411
153,0.0448
154,0.0476
155,0.018
156,0.0379
157,0.049
158,0.0446
159,0.0487
160,0.0156
161,0.0411
162,0.0473
163,0.0455
164,0.0322
165,0.021
166,0.0462
167,0.0459
168,0.036
169,0.0244
170,0.0457
171,0.0454
172,0.0136
173,0.0405
174,0.042
175,0.0372
176,0.0157
177,0.0453
178,0.0504
179,0.0051
180,0.0437
181,0.0461
182,0.0044
183,0.0423
184,0.0433
185,0.0081
186,0.0459
187,0.0433
188,0.0087
189,0.0434
190,0.0262
191,0.0291
192,0.0436
193,0.0052
194,0.0424
195,0.0461
196,0.0067
197,0.0436
198,0.0117
199,0.0445
200,0.0423
201,0.0122
202,0.0406
203,0.0052
204,0.0457
205,0.0292
206,0.0285
207,0.042
208,0.0062
209,0.0426
210,0.0053
211,0.0433
212,0.0102
213,0.041
214,0.0273
215,0.0255
216,0.0312
217,0.0183
218,0.046
219,0.0074
220,0.0378
221,0.0081
222,0.0424
223,0.0061
224,0.0399
225,0.0069
226,0.0393
227,0.0065
228,0.0407
229,0.0069
230,0.0417
231,0.0065
232,0.04
233,0.0061
234,0.0427
235,0.0049
236,0.0461
237,0.0057
238,0.033
239,0.0158
240,0.0214
241,0.0225
242,0.013
243,0.032
244,0.0069
245,0.0411
246,0.0057
247,0.0429
248,0.0064
249,0.0414
250,0.0062
251,0.024
252,0.0212
253,0.0048
254,0.0428
255,0.0055
256,0.0436
257,0.0079
258,0.0211
259,0.0204
260,0.0054
261,0.0448
262,0.0067
263,0.0407
264,0.006
265,0.0122
266,0.0318
267,0.0076
268,0.0436
269,0.0059
270,0.0125
271,0.0314
272,0.0078
273,0.0411
274,0.0054
275,0.0115
276,0.0304
277,0.0077
278,0.0392
279,0.0089
280,0.0033
281,0.0418
282,0.0063
283,0.024
284,0.0224
285,0.007
286,0.0414
287,0.0035
288,0.0022
289,0.0386
290,0.0066
291,0.0107
292,0.0293
293,0.0052
294,0.0282
295,0.0157
296,0.0067
297,0.0387
298,0.008
299,0.0052
300,0.0393
301,0.0042
302,0.0027
303,0.039
304,0.0053
305,0.0021
306,0.0427
307,0.0048
308,0.0017
309,0.0414
310,0.0054
311,0.0062
312,0.039
313,0.0055
314,8.0E-4
315,0.0451
316,0.006
317,0.002
318,0.0399
319,0.0045
320,0.0016
321,0.0432
322,0.0028
323,0.0027
324,0.0462
325,0.0026
326,0.0053
327,0.0335
328,0.0107
329,0.0072
330,0.0199
331,0.0205
332,0.0072
333,0.0067
334,0.0351
335,0.0048
336,0.0025
337,0.0407
338,0.0016
339,0.0062
340,0.0206
341,0.0209
342,0.0081
343,0.0022
344,0.0419
345,0.004
346,0.0036
347,0.032
348,0.0112
349,0.0071
350,0.0103
351,0.0337
352,0.0041
353,0.0026
354,0.0313
355,0.0097
356,0.0067
357,0.0059
358,0.0368
359,0.0039
360,0.0038
361,0.0211
362,0.0199
363,0.0043
364,0.0018
365,0.036
366,0.0048
367,0.0082
368,0.0045
369,0.0361
370,0.0028
371,0.0057
372,0.0142
373,0.0295
374,0.0035
375,0.0038
376,0.02
377,0.0213
378,0.0056
379,0.0021
380,0.0333
381,0.0107
382,0.0074
383,0.0011
384,0.0294
385,0.0105
386,0.0067
387,4.0E-4
388,0.0288
389,0.009
390,0.0055
391,3.0E-4
392,0.0313
393,0.0103
394,0.007
395,0.0013
396,0.0295
397,0.0112
398,0.0051
399,0.0018
400,0.0224
401,0.0199
402,0.0049
403,0.0023
404,0.02
405,0.0191
406,0.0038
407,0.0035
408,0.0082
409,0.0283
410,8.0E-4
411,0.0053
412,0.0
413,0.0301
414,0.0108
415,0.0053
416,0.0018
417,0.0237
418,0.0192
419,0.004
420,0.0033
421,0.0048
422,0.0363
423,0.0
424,0.007
425,2.0E-4
426,0.023
427,0.0208
428,0.004
429,0.0038
430,0.0045
431,0.0355
432,0.0
433,0.005
434,0.0011
435,0.025
436,0.0189
437,0.0012
438,0.0043
439,0.0
440,0.0316
441,0.0103
442,0.0024
443,0.0031
444,0.0049
445,0.033
446,0.0
447,0.005
448,0.0022
449,0.012
450,0.0309
451,0.0
452,0.0057
