Sequence Length,OPT,MTF,Transpose,2-in-a-Row
100000,45694019,44678913,49890008,49819762
200000,92911403,89486890,99600715,99271419
300000,140031936,134265936,149443450,149061691
400000,187133098,178971894,199434852,198561266
500000,234074123,223673131,248259122,248301018
600000,281621768,268450716,297735039,297369130
700000,328841877,313041497,347177558,348108169
800000,375949782,358106686,396246588,396970817
900000,423078157,403275426,445988265,446698269
1000000,470602768,447379530,494702337,496282336
