Heuristic,Cost
OPT,18840487
MTF,2824874
Transpose,43565449
2-in-a-Row,7747610
OPT,39374774
MTF,5573957
Transpose,78028732
2-in-a-Row,15161209
OPT,59495178
MTF,8295773
Transpose,104893923
2-in-a-Row,22549460
OPT,81068304
MTF,11103060
Transpose,130575668
2-in-a-Row,30206794
OPT,100401139
MTF,13666431
Transpose,150601610
2-in-a-Row,37085479
OPT,120580988
MTF,16464541
Transpose,173151147
2-in-a-Row,44625678
OPT,140882949
MTF,19222042
Transpose,193686750
2-in-a-Row,52188531
OPT,161393711
MTF,21866960
Transpose,215176911
2-in-a-Row,59135758
OPT,183800505
MTF,24700347
Transpose,238040197
2-in-a-Row,66901486
OPT,204611155
MTF,27279198
Transpose,258914409
2-in-a-Row,74026985
