Heuristic,Cost
OPT,959379
Splay,99451
Transpose,477872
2-in-a-Row,270336
OPT,1569260
Splay,201016
Transpose,957303
2-in-a-Row,544994
OPT,2647567
Splay,302525
Transpose,1448942
2-in-a-Row,819826
OPT,3642666
Splay,401883
Transpose,1925595
2-in-a-Row,1089356
OPT,4267548
Splay,497020
Transpose,2381199
2-in-a-Row,1348244
OPT,5147682
Splay,601205
Transpose,2878290
2-in-a-Row,1627661
OPT,6477961
Splay,702804
Transpose,3358625
2-in-a-Row,1905028
OPT,6933217
Splay,801825
Transpose,3841224
2-in-a-Row,2170240
OPT,7778557
Splay,898868
Transpose,4310200
2-in-a-Row,2435454
OPT,8976328
Splay,997295
Transpose,4787586
2-in-a-Row,2704259
