Heuristic,Cost
OPT,45694019
MTF,44678913
Transpose,49890008
2-in-a-Row,49819762
OPT,92911403
MTF,89486890
Transpose,99600715
2-in-a-Row,99271419
OPT,140031936
MTF,134265936
Transpose,149443450
2-in-a-Row,149061691
OPT,187133098
MTF,178971894
Transpose,199434852
2-in-a-Row,198561266
OPT,234074123
MTF,223673131
Transpose,248259122
2-in-a-Row,248301018
OPT,281621768
MTF,268450716
Transpose,297735039
2-in-a-Row,297369130
OPT,328841877
MTF,313041497
Transpose,347177558
2-in-a-Row,348108169
OPT,375949782
MTF,358106686
Transpose,396246588
2-in-a-Row,396970817
OPT,423078157
MTF,403275426
Transpose,445988265
2-in-a-Row,446698269
OPT,470602768
MTF,447379530
Transpose,494702337
2-in-a-Row,496282336
