Heuristic,Cost
OPT,1078117
Splay,1023652
Transpose,3258317
2-in-a-Row,1137117
OPT,1988643
Splay,2049596
Transpose,7097258
2-in-a-Row,2292454
OPT,3477220
Splay,3076516
Transpose,12512374
2-in-a-Row,3393088
OPT,5007981
Splay,4099214
Transpose,14030290
2-in-a-Row,4544920
OPT,5384597
Splay,5123575
Transpose,21216475
2-in-a-Row,5662333
OPT,6490153
Splay,6145490
Transpose,20840393
2-in-a-Row,6795022
OPT,7820440
Splay,7170143
Transpose,24731857
2-in-a-Row,7978365
OPT,8588838
Splay,8198408
Transpose,26872933
2-in-a-Row,9088620
OPT,10514697
Splay,9227191
Transpose,32526553
2-in-a-Row,10236896
OPT,10765886
Splay,10250619
Transpose,33610216
2-in-a-Row,11386097
