Heuristic,Cost
Splay,571332
Transpose,98990
2-in-a-Row,141357
Splay,1141488
Transpose,198093
2-in-a-Row,284820
Splay,1707701
Transpose,297038
2-in-a-Row,426025
Splay,2286893
Transpose,396203
2-in-a-Row,570976
Splay,2848810
Transpose,495547
2-in-a-Row,710918
Splay,3416822
Transpose,594148
2-in-a-Row,856792
Splay,3987261
Transpose,693307
2-in-a-Row,994839
Splay,4555334
Transpose,792528
2-in-a-Row,1137303
Splay,5135119
Transpose,891462
2-in-a-Row,1280042
Splay,5699093
Transpose,990859
2-in-a-Row,1421655
