Input,Percentage
233,6.0E-4
670,0.0314
97,0.0142
223,0.1238
886,0.3838
882,0.0
460,0.0706
574,0.0064
66,0.0956
797,0.302
723,0.0
322,0.0538
423,0.0148
848,0.1948
774,0.203
295,0.0144
354,0.0584
361,0.0
51,0.2248
254,0.2128
47,0.0258
62,0.0358
969,0.0
211,0.2884
518,0.142
410,0.0212
273,0.0524
230,0.0
505,0.3328
704,0.1182
577,0.0316
475,0.0328
504,0.0
378,0.3538
896,0.1508
593,0.0358
962,0.0176
50,0.0314
277,0.3794
488,0.0
659,0.0454
572,0.019
985,0.106
661,0.3228
424,0.0
927,0.0528
698,0.0064
559,0.1136
746,0.2694
52,0.0
304,0.0642
73,0.0052
311,0.2176
100,0.2756
318,0.0038
30,0.0502
261,0.0
356,0.2118
357,0.1566
905,0.005
155,0.0314
757,0.0
324,0.242
845,0.145
583,0.0102
394,0.0666
411,0.0
923,0.2578
950,0.1118
366,0.0402
902,0.0196
585,0.0
305,0.3474
987,0.098
403,0.032
167,0.0472
183,0.0056
586,0.407
922,0.034
632,0.0372
413,0.0376
666,0.1186
11,0.2764
671,0.0
98,0.0532
766,0.0232
397,0.0976
960,0.3784
903,0.0
124,0.057
69,0.0034
540,0.1526
338,0.2694
921,0.0046
140,0.0512
739,0.0
12,0.229
605,0.2548
564,0.0236
747,0.0564
538,0.0
105,0.226
900,0.201
867,0.0168
624,0.042
993,0.0
452,0.2558
429,0.0826
462,0.0294
375,0.028
154,0.0
759,0.2984
325,0.0892
693,0.0168
849,0.0124
680,0.0
658,0.376
933,0.0508
594,0.0352
948,0.0196
832,0.1148
339,0.2946
317,0.0
791,0.0632
427,0.0078
926,0.1128
805,0.3146
79,0.0
5,0.046
78,0.006
126,0.1564
369,0.289
1,0.0072
702,0.082
891,0.0
187,0.194
212,0.1994
602,0.0136
309,0.0554
729,0.0
854,0.2008
984,0.262
880,0.0046
445,0.0602
998,0.0
931,0.3768
885,0.1064
141,0.054
345,0.0478
67,0.0
454,0.2606
287,0.1166
353,0.028
456,0.0376
717,0.0
712,0.3724
979,0.0824
523,0.0392
677,0.0252
966,0.0334
618,0.3638
674,0.0
207,0.0486
929,0.031
526,0.0684
544,0.2558
197,0.0
116,0.057
