Input,Percentage
840,0.001
855,0.038
493,0.00475
405,0.111
598,0.4585
541,0.0
375,0.01825
553,0.00575
751,0.1315
195,0.33525
750,0.0
943,0.01425
380,0.0095
233,0.22625
787,0.20925
798,0.00475
404,0.01975
13,0.0
755,0.31575
659,0.1865
696,0.0
912,0.02825
993,0.0
157,0.241
489,0.14
351,0.02775
487,0.0245
395,0.0
424,0.3625
39,0.12375
746,0.00525
485,0.01075
84,0.0
449,0.27275
905,0.1555
47,0.013
563,0.026
104,0.05925
740,0.42375
285,0.0
667,0.01925
849,0.00925
723,0.1075
66,0.32225
780,0.0
258,0.029
82,0.0
685,0.0875
272,0.29325
821,0.0
845,0.036
368,5.0E-4
432,0.183
222,0.28575
701,0.0035
178,0.038
90,0.0
916,0.24375
574,0.23775
268,0.0
669,0.01075
225,0.0
451,0.28775
256,0.142
194,7.5E-4
720,0.02425
796,0.0
420,0.368
366,0.1085
11,0.0115
333,0.0045
143,0.0
186,0.40525
239,0.12225
559,0.0045
177,0.0145
558,0.004
399,0.4115
248,0.02125
300,0.01525
122,7.5E-4
738,0.088
615,0.2995
373,0.0
714,0.0135
739,0.01275
343,0.10975
389,0.313
477,0.0
527,0.01925
257,0.00425
31,0.16475
677,0.385
322,0.0
709,0.0315
610,0.0
782,0.218
632,0.2805
525,2.5E-4
983,0.03525
51,0.0
719,0.237
277,0.2375
978,0.006
644,0.03075
929,0.0
465,0.3645
990,0.163
552,0.01525
875,0.007
224,0.0
783,0.31025
467,0.1165
334,0.02575
731,0.0075
2,0.0
597,0.465
674,0.045
308,0.02275
365,0.0095
827,0.0815
761,0.3215
89,0.0
111,0.02525
670,0.00675
120,0.1375
421,0.34775
561,0.0
636,0.02725
571,0.01075
815,0.20775
135,0.28225
321,0.002
671,0.016
310,0.0
255,0.21875
3,0.247
975,0.01275
707,0.01375
936,0.0
690,0.1535
686,0.23025
958,0.008
609,0.029
36,0.0
407,0.3835
439,0.13725
687,0.01025
641,0.01525
119,0.0
215,0.2865
23,0.1005
964,0.0215
462,0.022
348,0.0
692,0.41025
41,0.041
390,0.02675
634,0.0335
167,0.04225
452,0.38525
789,0.0
584,0.044
775,0.00225
666,0.10125
543,0.2555
603,0.0
650,0.0205
708,0.01375
856,0.234
799,0.313
326,0.0
370,0.0365
608,0.00175
293,0.2765
697,0.2195
925,0.01225
279,0.0185
190,0.0
565,0.28075
484,0.29475
752,0.0225
660,0.0425
779,0.0
267,0.28475
819,0.14875
68,0.01825
496,0.01475
516,0.0
613,0.37025
116,0.07725
992,0.02325
889,0.0245
423,0.0
808,0.34375
758,0.0295
681,0.0185
106,0.00675
184,0.0715
923,0.35025
820,0.0
183,0.006
188,0.012
948,0.12225
658,0.41425
172,0.0
967,0.0075
910,0.0035
647,0.1365
