Input,Percentage
233,0.079
670,0.09575
97,0.10375
223,0.09625
886,0.1115
882,0.11425
460,0.085
574,0.0765
66,0.106
797,0.104
723,0.1005
322,0.11325
423,0.0995
848,0.07675
774,0.097
295,0.11
354,0.10575
361,0.11325
51,0.10425
254,0.083
47,0.08025
62,0.1005
969,0.10475
211,0.111
518,0.0995
410,0.09475
273,0.0875
230,0.0995
505,0.1025
704,0.102
577,0.1105
475,0.11375
504,0.08425
378,0.08175
896,0.09775
593,0.1055
962,0.09275
50,0.10625
277,0.089
488,0.0835
659,0.09925
572,0.106
985,0.0995
661,0.106
424,0.11175
927,0.08425
698,0.07775
559,0.10475
746,0.1085
52,0.09975
304,0.11
73,0.1035
311,0.07625
100,0.104
318,0.10775
30,0.11125
261,0.116
356,0.1145
357,0.075
905,0.09175
155,0.1225
757,0.10175
324,0.09925
845,0.10875
583,0.09525
394,0.07225
411,0.108
923,0.10675
950,0.1065
366,0.10475
902,0.09875
585,0.0685
305,0.097
987,0.111
403,0.1
167,0.10675
183,0.10875
586,0.089
922,0.08325
632,0.1115
413,0.10475
666,0.10725
11,0.1065
671,0.09825
98,0.08825
766,0.09625
397,0.10825
960,0.106
903,0.1085
124,0.10275
69,0.08475
540,0.089
338,0.11325
921,0.101
140,0.0955
739,0.114
12,0.09775
605,0.0775
564,0.09225
747,0.1025
538,0.1115
105,0.10075
900,0.11025
867,0.07725
624,0.087
993,0.1065
452,0.103
429,0.10875
462,0.115
375,0.095
154,0.07225
759,0.1015
325,0.102
693,0.09625
849,0.1005
680,0.10825
658,0.07825
933,0.09
594,0.1025
948,0.11525
832,0.1005
339,0.11175
317,0.087
791,0.07675
427,0.11225
926,0.1125
805,0.10425
79,0.1105
5,0.10875
78,0.08425
126,0.09875
369,0.10475
1,0.11725
702,0.09475
891,0.1115
187,0.091
212,0.082
602,0.10625
309,0.1125
729,0.0985
854,0.10925
984,0.1075
880,0.076
445,0.09425
998,0.1135
931,0.09675
885,0.09875
141,0.109
345,0.08375
67,0.08575
454,0.11225
287,0.10825
353,0.09175
456,0.11
717,0.099
712,0.0835
979,0.0955
523,0.109
677,0.119
966,0.11075
618,0.1055
674,0.086
207,0.07825
929,0.09925
526,0.104
544,0.0965
197,0.114
116,0.09125
956,0.089
861,0.102
396,0.1065
221,0.09975
28,0.09975
251,0.112
264,0.0795
732,0.08925
775,0.116
983,0.104
692,0.10625
125,0.10875
71,0.0905
823,0.079
965,0.09525
168,0.10475
788,0.10575
288,0.11225
104,0.101
709,0.08325
733,0.08425
120,0.1135
253,0.1
688,0.0965
244,0.10875
122,0.0905
181,0.07
697,0.0985
319,0.10775
915,0.09875
714,0.10625
866,0.09975
515,0.07575
442,0.09175
332,0.11225
6,0.1055
172,0.10925
708,0.1075
321,0.0805
414,0.08775
171,0.11375
457,0.1045
169,0.1025
507,0.101
483,0.1035
352,0.07525
199,0.09225
200,0.1085
837,0.1
271,0.11025
59,0.10825
830,0.089
552,0.07975
296,0.10425
27,0.11
795,0.112
463,0.11175
841,0.09425
219,0.074
964,0.106
614,0.1015
299,0.11075
786,0.09925
39,0.11025
201,0.0845
606,0.092
761,0.102
745,0.11175
425,0.11225
350,0.1015
367,0.09425
626,0.08375
967,0.102
508,0.111
542,0.113
365,0.10225
952,0.106
627,0.079
917,0.08825
381,0.099
77,0.11125
190,0.10875
864,0.09675
137,0.09425
138,0.085
398,0.10025
259,0.10775
945,0.1065
636,0.10975
250,0.1085
651,0.08
978,0.08175
768,0.106
402,0.113
897,0.09625
102,0.1155
650,0.08875
433,0.08275
334,0.098
298,0.1125
498,0.0935
678,0.097
514,0.10425
450,0.07475
740,0.0935
260,0.11625
869,0.10675
130,0.12325
88,0.11325
235,0.0885
344,0.07725
620,0.1095
812,0.09825
358,0.1
806,0.10125
371,0.11
995,0.07025
468,0.10075
46,0.115
110,0.10275
241,0.10875
928,0.0945
170,0.09175
744,0.0905
856,0.1175
164,0.11875
40,0.11
272,0.1035
31,0.09925
284,0.074
127,0.102
780,0.10475
41,0.103
785,0.10325
383,0.1185
519,0.07675
500,0.0775
441,0.102
315,0.1005
943,0.10975
393,0.10025
772,0.09225
781,0.08275
406,0.1085
408,0.09925
588,0.11075
65,0.09825
762,0.11875
87,0.084
274,0.0735
860,0.0945
700,0.1055
355,0.10875
326,0.10475
278,0.09475
649,0.07625
360,0.107
634,0.107
291,0.11025
330,0.1075
234,0.10975
846,0.07925
185,0.08675
592,0.11075
690,0.11075
506,0.10125
364,0.1065
972,0.08775
509,0.08
568,0.09625
265,0.10475
314,0.10125
392,0.11025
472,0.10225
484,0.0905
834,0.0985
535,0.1065
464,0.104
842,0.09725
543,0.1115
916,0.07375
773,0.07825
522,0.093
803,0.103
229,0.1005
990,0.1145
875,0.10525
374,0.07825
937,0.09375
909,0.10625
977,0.1005
118,0.09425
722,0.115
898,0.0765
173,0.08625
276,0.1075
652,0.10175
851,0.10725
286,0.0995
487,0.1075
119,0.07975
368,0.09725
631,0.1065
114,0.09975
767,0.10525
935,0.1025
589,0.08725
879,0.09425
782,0.122
232,0.10775
513,0.11275
821,0.1155
494,0.08175
689,0.0815
228,0.094
771,0.111
765,0.10275
920,0.103
188,0.11425
85,0.071
389,0.0875
479,0.103
143,0.1135
906,0.1
92,0.1145
448,0.09425
862,0.079
502,0.0965
944,0.1105
461,0.1055
681,0.104
436,0.10625
857,0.06925
847,0.0955
691,0.11575
719,0.10375
492,0.10375
881,0.10475
545,0.096
306,0.07525
743,0.1145
215,0.1135
101,0.1085
705,0.10725
382,0.094
814,0.07825
992,0.09025
206,0.10375
557,0.10925
838,0.09425
194,0.10875
531,0.0925
737,0.0785
485,0.10775
828,0.11075
707,0.10275
123,0.10775
621,0.104
203,0.08275
800,0.0965
262,0.11425
327,0.10275
48,0.1145
807,0.124
801,0.0875
863,0.08475
129,0.111
434,0.1045
177,0.10325
310,0.11275
738,0.09875
440,0.0815
8,0.107
263,0.10375
91,0.10975
657,0.10375
268,0.1115
451,0.08425
135,0.09425
151,0.109
999,0.10625
779,0.1095
942,0.10275
571,0.0905
813,0.08275
638,0.10825
844,0.09975
833,0.11
391,0.09975
300,0.10525
255,0.089
529,0.1
204,0.1145
769,0.1035
486,0.112
941,0.10625
58,0.0915
576,0.08275
17,0.1015
242,0.1205
563,0.09825
695,0.10925
86,0.106
874,0.08575
734,0.0945
790,0.122
149,0.09875
802,0.09625
111,0.0995
787,0.08525
938,0.07725
9,0.10375
537,0.10675
61,0.10325
573,0.1015
430,0.10225
534,0.07825
4,0.095
617,0.108
703,0.093
892,0.1
362,0.10675
877,0.0855
890,0.086
21,0.11025
836,0.10225
481,0.09875
961,0.11125
758,0.10025
109,0.0785
184,0.095
547,0.1075
610,0.1075
925,0.11275
591,0.10675
176,0.08175
783,0.084
810,0.10175
973,0.10125
431,0.109
852,0.11
395,0.08925
44,0.08325
721,0.1125
444,0.1025
895,0.11675
289,0.11375
672,0.11
804,0.08125
449,0.08725
412,0.113
870,0.1045
974,0.10675
2,0.10475
976,0.0965
237,0.07675
72,0.1065
597,0.0995
524,0.105
996,0.12
249,0.11625
859,0.0795
443,0.09775
349,0.10475
503,0.1045
205,0.1135
615,0.1125
386,0.08625
285,0.08125
178,0.09875
975,0.11225
376,0.10375
878,0.1105
377,0.10275
308,0.0885
533,0.0975
530,0.09875
180,0.1065
385,0.0935
668,0.11725
182,0.0915
607,0.08875
236,0.106
491,0.1085
292,0.11575
512,0.119
243,0.10325
290,0.07125
193,0.10175
446,0.10425
776,0.11175
202,0.10475
911,0.108
329,0.091
981,0.0835
68,0.11275
914,0.10175
736,0.09975
816,0.106
421,0.10175
489,0.08025
162,0.10925
760,0.10125
240,0.10175
