Input,Percentage
233,0.09025
670,0.103
97,0.08125
223,0.097
886,0.08625
882,0.095
460,0.08575
574,0.11075
66,0.09525
797,0.11275
723,0.08825
322,0.105
423,0.10825
848,0.10625
774,0.097
295,0.10925
354,0.0885
361,0.091
51,0.09775
254,0.0985
47,0.10675
62,0.09275
969,0.09825
211,0.09675
518,0.093
410,0.10275
273,0.08725
230,0.0995
505,0.09925
704,0.09925
577,0.08925
475,0.10575
504,0.09725
378,0.11725
896,0.1215
593,0.08725
962,0.10875
50,0.112
277,0.10475
488,0.116
659,0.10725
572,0.094
985,0.109
661,0.11
424,0.08675
927,0.083
698,0.09375
559,0.09925
746,0.10225
52,0.1005
304,0.0995
73,0.1145
311,0.10125
100,0.0925
318,0.0935
30,0.0955
261,0.10625
356,0.11125
357,0.0945
905,0.1035
155,0.0935
757,0.097
324,0.09975
845,0.10225
583,0.08875
394,0.092
411,0.1075
923,0.119
950,0.11175
366,0.09425
902,0.086
585,0.10075
305,0.09325
987,0.1125
403,0.09425
167,0.106
183,0.12575
586,0.0835
922,0.11425
632,0.11475
413,0.0945
666,0.09925
11,0.09675
671,0.103
98,0.084
766,0.09325
397,0.09025
960,0.10125
903,0.09125
124,0.104
69,0.096
540,0.103
338,0.10075
921,0.102
140,0.10325
739,0.081
12,0.0985
605,0.10875
564,0.0825
747,0.095
538,0.08425
105,0.096
900,0.11025
867,0.09675
624,0.09575
993,0.08875
452,0.09325
429,0.0975
462,0.099
375,0.10225
154,0.099
759,0.10125
325,0.103
693,0.0915
849,0.0985
680,0.109
658,0.116
933,0.1045
594,0.1025
948,0.08475
832,0.108
339,0.0815
317,0.10175
791,0.08775
427,0.10475
926,0.098
805,0.0955
79,0.1185
5,0.09675
78,0.104
126,0.0945
369,0.0975
1,0.07625
702,0.09575
891,0.08625
187,0.09325
212,0.10275
602,0.10325
309,0.10125
729,0.10975
854,0.092
984,0.08475
880,0.09375
445,0.09675
998,0.09825
931,0.0855
885,0.101
141,0.10525
345,0.114
67,0.087
454,0.0915
287,0.1025
353,0.10175
456,0.093
717,0.112
712,0.0885
979,0.1305
523,0.09125
677,0.11825
966,0.10575
618,0.10675
674,0.094
207,0.0975
929,0.089
526,0.086
544,0.09875
197,0.10425
116,0.1035
956,0.102
861,0.10725
396,0.0915
221,0.0925
28,0.11225
251,0.10025
264,0.1075
732,0.11775
775,0.09975
983,0.0955
692,0.09125
125,0.095
71,0.0975
823,0.115
965,0.09075
168,0.0935
788,0.1
288,0.091
104,0.095
709,0.10275
733,0.10075
120,0.10625
253,0.10175
688,0.1115
244,0.09875
122,0.11875
181,0.10775
697,0.0925
319,0.112
915,0.094
714,0.11925
866,0.1045
515,0.093
442,0.099
332,0.10775
6,0.1065
172,0.10975
708,0.08675
321,0.085
414,0.09425
171,0.1055
457,0.09575
169,0.10225
507,0.0985
483,0.107
352,0.09575
199,0.09875
200,0.087
837,0.11325
271,0.09725
59,0.09875
830,0.09825
552,0.1115
296,0.088
27,0.10475
795,0.09775
463,0.09925
841,0.09075
219,0.0945
964,0.1065
614,0.09825
299,0.1115
786,0.102
39,0.1205
201,0.10375
606,0.0885
761,0.108
745,0.09625
425,0.122
350,0.10875
367,0.10375
626,0.11125
967,0.1015
508,0.10175
542,0.1005
365,0.10275
952,0.08925
627,0.089
917,0.11675
381,0.07825
77,0.094
190,0.09
864,0.1065
137,0.08775
138,0.09525
398,0.1065
259,0.0895
945,0.0985
636,0.093
250,0.11275
651,0.0965
978,0.11
768,0.103
402,0.097
897,0.082
102,0.0955
650,0.09675
433,0.11475
334,0.1015
298,0.0965
498,0.0935
678,0.0985
514,0.09375
450,0.11075
740,0.1005
260,0.1
869,0.11975
130,0.095
88,0.1155
235,0.111
344,0.1055
620,0.11575
812,0.09725
358,0.097
806,0.09375
371,0.10775
995,0.0935
468,0.11075
46,0.1025
110,0.11575
241,0.1025
928,0.1015
170,0.099
744,0.09275
856,0.1
164,0.0945
40,0.091
272,0.09125
31,0.10425
284,0.10175
127,0.106
780,0.09175
41,0.08475
785,0.1
383,0.102
519,0.098
500,0.096
441,0.0975
315,0.11325
943,0.08075
393,0.10225
772,0.09375
781,0.10925
406,0.114
