Input,Percentage
1,0.284708019
2,0.115627385
3,0.068256194
4,0.04695931
5,0.035134898
6,0.027720629
7,0.022686748
8,0.019071406
9,0.01636381
10,0.014269202
11,0.012606346
12,0.011258073
13,0.010145497
14,0.009213683
15,0.008423277
16,0.007745398
17,0.007158402
18,0.006645772
19,0.006194696
20,0.005795097
21,0.005438944
22,0.005119767
23,0.004832296
24,0.004572199
25,0.004335884
26,0.004120352
27,0.003923077
28,0.003741918
29,0.003575051
30,0.003420913
31,0.003278155
32,0.003145609
33,0.003022258
34,0.002907215
35,0.002799698
36,0.002699022
37,0.002604579
38,0.002515828
39,0.002432292
40,0.002353541
41,0.002279191
42,0.002208898
43,0.002142351
44,0.002079272
45,0.002019405
46,0.001962522
47,0.001908414
48,0.00185689
49,0.001807777
50,0.001760916
51,0.001716163
52,0.001673383
53,0.001632454
54,0.001593264
55,0.001555708
56,0.001519691
57,0.001485123
58,0.001451922
59,0.001420012
60,0.001389323
61,0.001359787
62,0.001331345
63,0.001303938
64,0.001277514
65,0.001252023
66,0.001227418
67,0.001203656
68,0.001180696
69,0.0011585
70,0.001137031
71,0.001116256
72,0.001096144
73,0.001076663
74,0.001057788
75,0.001039489
76,0.001021744
77,0.001004527
78,0.000987817
79,0.000971593
80,0.000955835
81,0.000940522
82,0.000925639
83,0.000911167
84,0.000897091
85,0.000883395
86,0.000870065
87,0.000857087
88,0.000844447
89,0.000832133
90,0.000820133
91,0.000808436
92,0.000797032
93,0.000785908
94,0.000775057
95,0.000764467
96,0.000754132
97,0.00074404
98,0.000734185
99,0.000724559
100,0.000715154
101,0.000705963
102,0.000696979
103,0.000688195
104,0.000679605
105,0.000671203
106,0.000662983
107,0.000654939
108,0.000647066
109,0.00063936
110,0.000631814
111,0.000624424
112,0.000617186
113,0.000610095
114,0.000603147
115,0.000596338
116,0.000589664
117,0.00058312
118,0.000576704
119,0.000570412
120,0.00056424
121,0.000558186
122,0.000552245
123,0.000546416
124,0.000540694
125,0.000535077
126,0.000529563
127,0.000524149
128,0.000518832
129,0.00051361
130,0.000508479
131,0.000503439
132,0.000498487
133,0.00049362
134,0.000488836
135,0.000484134
136,0.000479512
137,0.000474966
138,0.000470497
139,0.000466101
140,0.000461778
141,0.000457525
142,0.000453341
143,0.000449224
144,0.000445173
145,0.000441186
146,0.000437261
147,0.000433398
148,0.000429595
149,0.000425851
150,0.000422164
151,0.000418533
152,0.000414957
153,0.000411435
154,0.000407965
155,0.000404547
156,0.000401179
157,0.00039786
158,0.000394589
159,0.000391366
160,0.000388189
161,0.000385058
162,0.000381971
163,0.000378927
164,0.000375926
165,0.000372967
166,0.000370049
167,0.000367171
168,0.000364332
169,0.000361532
170,0.00035877
171,0.000356045
172,0.000353356
173,0.000350703
174,0.000348085
175,0.000345502
176,0.000342952
177,0.000340435
178,0.000337951
179,0.000335499
180,0.000333078
181,0.000330687
182,0.000328327
183,0.000325997
184,0.000323695
185,0.000321423
186,0.000319178
187,0.000316961
188,0.000314771
189,0.000312607
190,0.00031047
191,0.000308359
192,0.000306273
193,0.000304211
194,0.000302174
195,0.000300161
196,0.000298172
197,0.000296206
198,0.000294263
199,0.000292342
200,0.000290443
201,0.000288566
202,0.00028671
203,0.000284875
204,0.000283061
205,0.000281268
206,0.000279494
207,0.00027774
208,0.000276005
209,0.00027429
210,0.000272593
211,0.000270915
212,0.000269255
213,0.000267612
214,0.000265988
215,0.000264381
216,0.000262791
217,0.000261217
218,0.000259661
219,0.00025812
220,0.000256596
221,0.000255088
222,0.000253595
223,0.000252118
224,0.000250656
225,0.000249208
226,0.000247776
227,0.000246358
228,0.000244954
229,0.000243564
230,0.000242188
231,0.000240826
232,0.000239478
233,0.000238143
234,0.00023682
235,0.000235511
236,0.000234215
237,0.000232931
238,0.000231659
239,0.0002304
240,0.000229153
241,0.000227917
242,0.000226694
243,0.000225482
244,0.000224281
245,0.000223092
246,0.000221914
247,0.000220746
248,0.00021959
249,0.000218444
250,0.000217309
251,0.000216184
252,0.00021507
253,0.000213965
254,0.000212871
255,0.000211786
256,0.000210711
257,0.000209646
258,0.00020859
259,0.000207544
260,0.000206507
261,0.000205479
262,0.00020446
263,0.00020345
264,0.000202449
265,0.000201456
266,0.000200472
267,0.000199496
268,0.000198529
269,0.00019757
270,0.00019662
271,0.000195677
272,0.000194742
273,0.000193815
274,0.000192896
275,0.000191985
276,0.000191081
277,0.000190185
278,0.000189296
279,0.000188414
280,0.00018754
281,0.000186673
282,0.000185813
283,0.00018496
284,0.000184114
285,0.000183274
286,0.000182442
287,0.000181616
288,0.000180796
289,0.000179983
290,0.000179177
291,0.000178377
292,0.000177583
293,0.000176796
294,0.000176014
295,0.000175239
296,0.00017447
297,0.000173707
298,0.000172949
299,0.000172198
300,0.000171452
301,0.000170712
302,0.000169977
303,0.000169248
304,0.000168525
305,0.000167807
306,0.000167094
307,0.000166387
308,0.000165685
309,0.000164989
310,0.000164297
311,0.000163611
312,0.000162929
313,0.000162253
314,0.000161581
315,0.000160915
316,0.000160253
317,0.000159596
318,0.000158944
319,0.000158297
320,0.000157654
321,0.000157016
322,0.000156382
323,0.000155753
324,0.000155128
325,0.000154508
326,0.000153892
327,0.000153281
328,0.000152674
329,0.000152071
330,0.000151472
331,0.000150877
332,0.000150287
333,0.0001497
334,0.000149118
335,0.000148539
336,0.000147965
337,0.000147394
338,0.000146828
339,0.000146265
340,0.000145706
341,0.000145151
342,0.000144599
343,0.000144051
344,0.000143507
345,0.000142967
346,0.00014243
347,0.000141896
348,0.000141367
349,0.00014084
350,0.000140317
351,0.000139798
352,0.000139282
353,0.000138769
354,0.00013826
355,0.000137754
356,0.000137251
357,0.000136751
358,0.000136255
359,0.000135762
360,0.000135272
361,0.000134785
362,0.000134301
363,0.00013382
364,0.000133342
365,0.000132868
366,0.000132396
367,0.000131927
368,0.000131461
369,0.000130998
370,0.000130538
371,0.000130081
372,0.000129627
373,0.000129175
374,0.000128726
375,0.00012828
376,0.000127837
377,0.000127396
378,0.000126958
379,0.000126523
380,0.00012609
381,0.00012566
382,0.000125233
383,0.000124808
384,0.000124385
385,0.000123965
386,0.000123548
387,0.000123133
388,0.000122721
389,0.000122311
390,0.000121903
391,0.000121498
392,0.000121095
393,0.000120695
394,0.000120297
395,0.000119901
396,0.000119508
397,0.000119117
398,0.000118728
399,0.000118341
400,0.000117956
401,0.000117574
402,0.000117194
403,0.000116816
404,0.00011644
405,0.000116067
406,0.000115695
407,0.000115326
408,0.000114959
409,0.000114593
410,0.00011423
411,0.000113869
412,0.00011351
413,0.000113153
414,0.000112797
415,0.000112444
416,0.000112093
417,0.000111744
418,0.000111396
419,0.000111051
420,0.000110707
421,0.000110365
422,0.000110026
423,0.000109688
424,0.000109351
425,0.000109017
426,0.000108684
427,0.000108354
428,0.000108025
429,0.000107697
430,0.000107372
431,0.000107048
432,0.000106726
433,0.000106406
434,0.000106087
435,0.00010577
436,0.000105455
437,0.000105141
438,0.000104829
439,0.000104519
440,0.00010421
441,0.000103903
